symbol,symbol_id,date,daily_rsi_3,daily_rsi_9,weekly_rsi_3,monthly_rsi_3,ret_5d,ret_10d
KSB,1098,2014-10-27,79.13,48.18,61.01,80.98,2.77,14.16
LMW,1141,2014-10-27,82.48,64.1,58.85,86.3,1.54,0.98
OIL,1396,2014-10-27,81.17,54.17,76.93,83.45,5.8,-0.17
STYRENIX,1885,2014-10-27,86.4,61.83,82.75,79.53,8.5,9.11
WENDT,2176,2014-10-27,90.14,65.38,77.91,80.89,0.7,1.49
AMBIKCO,115,2014-10-28,68.27,44.3,68.02,90.94,7.47,4.81
DABUR,455,2014-10-28,63.6,50.38,72.76,76.09,5.88,8.74
OFSS,1395,2014-10-28,84.4,48.16,56.3,54.69,2.67,-1.59
POLYPLEX,1506,2014-10-28,80.75,49.91,59.56,94.53,2.48,5.62
RELIANCE,1606,2014-10-29,69.66,52.56,76.22,59.7,3.04,1.84
VADILALIND,2093,2014-10-29,77.15,44.45,70.46,60.18,10.08,10.5
BAYERCROP,265,2014-10-30,81.03,47.08,51.41,74.73,-0.25,22.81
INDIACEM,885,2014-10-30,70.65,53.6,53.62,68.59,-1.5,2.18
PURVA,1548,2014-10-30,86.54,63.6,59.07,57.68,-5.51,-3.2
BOSCHLTD,331,2014-11-03,91.49,76.28,79.84,97.05,3.17,16.48
GUJAPOLLO,759,2014-11-03,66.3,48.46,57.49,50.88,3.19,3.66
SUPRAJIT,1908,2014-11-03,86.28,61.52,59.95,67.8,-1.64,1.31
HUHTAMAKI,845,2014-11-05,81.22,57.78,75.09,65.27,-1.13,-5.8
CRISIL,439,2014-11-07,91.96,62.55,62.86,66.5,3.37,-0.04
MASTEK,1212,2014-11-07,82.95,61.39,66.42,70.22,1.34,-1.89
WOCKPHARMA,2188,2014-11-07,73.36,60.15,66.94,78.84,0.19,4.2
BIL,302,2014-11-10,87.67,69.08,80.26,93.14,-1.93,5.8
ITC,945,2014-11-10,88.22,73.97,82.58,62.28,-0.4,0.88
APLLTD,141,2014-11-11,87.44,64.46,83.4,88.2,7.74,0.27
BAYERCROP,265,2014-11-11,81.85,64.83,87.93,91.42,19.52,20.32
ZFCVINDIA,2210,2014-11-11,83.94,65.17,85.46,87.2,12.93,11.65
WENDT,2176,2014-11-14,88.1,75.07,84.44,95.07,13.63,16.12
CARERATING,361,2014-11-17,71.24,53.77,73.49,71.93,5.3,5.37
KKCL,1067,2014-11-19,83.84,58.23,78.64,74.47,2.19,4.46
BAJAJFINSV,234,2014-11-21,80.39,60.68,66.14,80.17,7.17,18.29
NILKAMAL,1360,2014-11-26,77.54,56.42,53.03,58.97,18.56,44.69
SOTL,1841,2014-11-27,67.89,51.92,53.0,55.35,3.12,2.23
AKZOINDIA,95,2014-11-28,88.07,69.01,71.63,93.25,4.05,3.9
PGHL,1476,2014-12-03,87.24,63.7,76.38,58.11,5.12,-4.42
HINDZINC,822,2014-12-04,87.43,64.77,81.16,66.22,-3.49,-3.6
IGARASHI,865,2014-12-05,83.7,65.48,72.21,60.96,-5.11,-7.08
SUPRAJIT,1908,2014-12-05,86.0,71.5,89.62,83.81,-2.75,-0.15
ZENSARTECH,2208,2014-12-05,92.54,69.95,73.55,80.81,-8.29,-7.27
KALYANIFRG,1024,2014-12-16,83.12,53.7,60.75,63.99,-1.56,7.62
RELAXO,1603,2014-12-18,86.81,67.95,73.3,89.78,-3.83,11.42
ENIL,582,2014-12-22,84.31,59.71,62.77,92.88,-0.73,-1.9
RAMCOCEM,1579,2014-12-24,73.04,53.89,60.84,79.48,6.72,0.14
APARINDS,136,2014-12-29,82.17,56.57,68.34,82.56,0.33,-4.29
GICHSGFIN,683,2014-12-29,87.68,70.1,91.25,89.19,21.81,44.21
KAJARIACER,1019,2014-12-29,70.71,45.41,77.86,50.33,9.52,10.48
BLUESTARCO,320,2014-12-30,66.06,44.0,58.79,52.89,1.73,2.34
MOIL,1268,2014-12-30,68.03,55.38,74.42,73.33,1.75,1.28
SHANTIGEAR,1762,2014-12-30,92.8,64.44,51.57,75.81,-8.23,-3.89
JUBLFOOD,1009,2014-12-31,77.06,57.75,56.21,65.02,-4.21,1.53
SUNDRMFAST,1900,2014-12-31,80.24,57.6,76.6,94.82,0.16,0.95
SWELECTES,1931,2014-12-31,89.21,64.09,62.35,68.93,-4.13,7.32
BHARTIARTL,297,2015-01-01,85.72,58.74,57.95,51.84,-0.48,-3.74
RAJESHEXPO,1568,2015-01-01,83.15,51.89,51.47,67.02,-3.84,-4.68
BYKE,346,2015-01-02,88.32,62.9,55.84,57.35,2.52,1.27
GRASIM,734,2015-01-02,84.65,62.35,70.14,80.02,-2.61,4.03
HATSUN,779,2015-01-02,81.79,62.18,66.53,82.1,0.47,-1.05
ICICIBANK,851,2015-01-02,87.95,66.43,72.72,87.93,-5.64,-2.33
ZODIACLOTH,2213,2015-01-02,89.53,61.25,60.13,50.35,-2.61,-3.79
KANSAINER,1032,2015-01-08,81.96,69.34,84.71,96.32,7.31,14.86
MAYURUNIQ,1219,2015-01-08,84.94,68.19,82.68,85.42,11.26,9.27
TATACONSUM,1954,2015-01-08,73.8,59.44,66.18,56.34,1.27,3.35
RUPA,1662,2015-01-09,88.37,70.21,83.99,61.31,-2.05,-0.81
SUNPHARMA,1903,2015-01-09,76.31,57.56,57.11,87.18,2.37,11.66
TECHM,1971,2015-01-09,85.9,66.03,83.14,92.61,5.1,3.75
AJANTPHARM,84,2015-01-12,86.8,57.13,68.16,94.78,5.08,-0.1
BOSCHLTD,331,2015-01-12,82.51,68.15,86.95,99.05,5.8,13.42
PGIL,1477,2015-01-12,89.74,65.17,83.7,54.51,7.57,0.94
SWELECTES,1931,2015-01-12,79.23,66.2,92.47,92.94,21.81,22.14
APOLLOHOSP,143,2015-01-13,80.09,58.65,77.66,86.26,5.27,23.6
GRASIM,734,2015-01-13,84.3,64.77,77.18,80.02,4.1,9.82
ASAHIINDIA,170,2015-01-14,82.12,61.22,84.48,87.18,6.48,10.24
EVEREADY,604,2015-01-14,90.06,63.7,73.54,95.94,12.23,15.17
BLUESTARCO,320,2015-01-15,90.7,69.76,79.23,58.89,0.21,-1.38
KIRLOSENG,1063,2015-01-15,81.42,58.53,52.77,57.84,-1.08,-1.18
LT,1150,2015-01-15,84.16,64.85,68.38,68.32,5.69,8.06
MAHLIFE,1176,2015-01-15,82.73,64.63,81.17,58.71,-0.1,4.22
SUNPHARMA,1903,2015-01-16,81.6,66.44,75.79,87.18,9.07,9.34
IFBIND,862,2015-01-19,82.19,61.06,71.78,92.34,2.35,-4.52
MUTHOOTFIN,1301,2015-01-19,84.37,66.68,88.45,78.42,7.17,0.48
HUHTAMAKI,845,2015-01-20,90.81,70.83,93.73,87.97,5.69,16.13
AIAENG,80,2015-01-21,82.01,63.08,70.46,71.28,2.77,-1.43
AMBIKCO,115,2015-01-23,77.71,64.0,69.77,97.11,-2.55,-1.34
BPCL,332,2015-01-23,83.98,61.2,57.94,67.22,10.96,5.49
AMRUTANJAN,120,2015-01-28,82.75,60.18,63.33,99.9,1.32,-5.41
DIVISLAB,516,2015-01-28,83.8,62.18,65.96,60.92,-5.93,-5.78
KOLTEPATIL,1074,2015-01-29,87.63,63.91,82.52,78.45,0.82,6.41
ASTRAL,189,2015-02-03,82.79,63.57,84.77,71.9,5.66,16.29
RAMCOSYS,1581,2015-02-03,87.27,65.45,84.23,89.85,9.1,28.72
CIGNITITEC,401,2015-02-04,81.38,55.98,51.08,58.21,-0.37,0.79
INGERRAND,915,2015-02-06,78.66,60.98,67.9,88.82,-0.54,10.3
CASTROLIND,365,2015-02-11,80.83,57.49,61.72,54.11,-2.59,-5.46
HAVELLS,780,2015-02-11,83.01,53.01,57.8,51.86,4.68,1.27
PIIND,1482,2015-02-12,77.95,57.68,83.39,91.53,24.26,15.2
FINCABLES,628,2015-02-13,85.38,63.43,65.06,84.65,3.94,2.03
ZUARIIND,2216,2015-02-18,76.88,58.5,68.0,51.81,-2.81,-2.08
SIYSIL,1814,2015-02-24,70.32,51.88,52.66,74.19,-1.91,-2.3
GREAVESCOT,736,2015-02-27,85.96,68.89,76.94,79.42,-7.49,-12.45
LINDEINDIA,1137,2015-02-27,71.03,56.46,60.47,76.76,-2.75,-4.48
SOBHA,1829,2015-02-27,80.29,61.07,66.2,60.25,-6.05,-14.85
STYRENIX,1885,2015-03-02,73.65,60.64,50.71,60.51,-4.91,-3.17
VINDHYATEL,2131,2015-03-02,79.11,52.8,68.8,56.54,2.27,1.05
APLLTD,141,2015-03-03,73.16,51.05,54.01,64.24,4.11,6.25
INDOCO,898,2015-03-03,73.41,53.51,83.96,85.64,12.9,15.11
ADOR,50,2015-03-04,70.15,51.57,53.67,56.66,-0.02,8.24
MAYURUNIQ,1219,2015-03-12,76.86,55.67,56.09,62.81,0.34,-5.46
SYMPHONY,1934,2015-03-12,79.53,59.87,64.05,91.4,3.38,12.55
TORNTPHARM,2018,2015-03-16,83.42,62.85,65.04,78.67,0.1,0.73
JSWENERGY,1002,2015-03-17,81.86,64.23,66.87,86.83,1.5,-0.5
GSPL,751,2015-03-18,76.82,55.61,60.07,97.74,3.57,9.57
ABBOTINDIA,24,2015-03-26,68.17,50.64,82.06,77.63,5.22,4.55
GREAVESCOT,736,2015-03-27,77.17,55.02,51.31,54.63,-0.67,-3.72
BALKRISIND,247,2015-03-30,79.46,59.4,74.62,56.04,8.83,19.89
HITECHGEAR,827,2015-03-30,64.84,45.03,56.68,53.98,10.1,8.81
LINDEINDIA,1137,2015-03-30,80.47,55.9,55.91,59.76,-2.08,-2.9
TVTODAY,2049,2015-03-30,71.1,48.54,60.86,50.55,4.65,10.06
CARBORUNIV,360,2015-03-31,95.77,67.0,78.08,73.74,-1.79,-3.81
CUMMINSIND,448,2015-03-31,74.1,53.78,59.84,79.15,-0.87,-1.46
SAMMAANCAP,1693,2015-03-31,68.57,42.7,52.62,57.22,4.21,-0.56
SANOFI,1704,2015-03-31,86.1,63.2,58.95,53.95,0.13,-2.56
TVSSRICHAK,2048,2015-03-31,86.7,57.92,56.34,61.25,24.95,30.57
INDTERRAIN,908,2015-04-01,81.58,59.49,62.35,90.47,9.58,19.09
LAOPALA,1113,2015-04-01,87.23,63.31,66.03,56.7,21.09,8.84
INSECTICID,921,2015-04-06,73.91,55.7,84.87,59.06,22.5,2.48
RATNAMANI,1587,2015-04-06,82.58,55.62,56.51,56.89,-0.88,-3.41
OFSS,1395,2015-04-07,86.59,69.66,77.42,52.0,0.09,-2.02
AKZOINDIA,95,2015-04-08,70.35,51.62,55.85,51.37,-0.19,0.96
SHEMAROO,1768,2015-04-08,88.07,50.78,52.74,51.88,2.19,-1.74
SAMMAANCAP,1693,2015-04-09,76.92,59.85,58.78,66.94,-4.58,-4.66
WHEELS,2180,2015-04-09,84.38,60.27,61.57,60.83,-3.03,-10.45
SANDESH,1697,2015-04-10,77.44,63.08,74.74,75.75,8.08,2.23
BYKE,346,2015-04-15,100.0,99.61,98.58,60.95,-0.85,-1.61
CHOLAFIN,397,2015-04-15,82.1,66.99,73.95,89.15,-3.32,-2.6
HATSUN,779,2015-04-17,92.41,67.57,70.03,64.22,-0.78,-0.55
AXISBANK,223,2015-04-29,79.57,55.3,64.9,76.68,-4.46,0.71
HMVL,832,2015-04-29,85.69,60.7,59.9,64.22,-5.13,5.04
HCLTECH,787,2015-05-04,77.75,52.08,53.46,68.37,2.4,1.17
TCS,1967,2015-05-05,76.64,51.99,54.18,60.16,0.2,-0.2
TCS,1967,2015-05-07,70.77,56.7,54.18,60.16,-1.81,0.4
HATSUN,779,2015-05-08,89.96,74.65,80.06,69.21,-2.22,-2.21
HINDUNILVR,820,2015-05-08,76.96,55.25,53.13,56.53,-5.63,-3.51
EMAMILTD,568,2015-05-11,72.1,47.8,66.34,83.74,10.17,8.41
GPPL,729,2015-05-11,68.38,49.66,54.09,58.25,7.7,3.99
HEROMOTOCO,801,2015-05-11,65.04,49.36,71.27,54.76,5.72,8.55
JUBLFOOD,1009,2015-05-11,69.18,52.79,79.82,81.83,18.83,18.21
DRREDDY,536,2015-05-12,79.81,54.15,58.43,69.05,4.82,2.26
DHANUKA,499,2015-05-13,69.22,53.05,57.62,66.69,4.94,7.21
PERSISTENT,1468,2015-05-13,71.9,53.17,72.94,58.27,9.5,6.18
ASIANPAINT,182,2015-05-14,81.61,58.75,56.75,55.45,-2.42,-3.65
BHARATFORG,292,2015-05-14,81.17,61.16,62.21,73.44,-3.92,-6.51
NESTLEIND,1342,2015-05-14,74.82,54.15,66.1,55.13,1.38,2.96
GRINDWELL,741,2015-05-15,74.57,56.12,57.96,76.69,-0.34,2.66
STAR,1867,2015-05-15,79.92,54.99,54.61,77.02,11.58,18.07
HDFCBANK,790,2015-05-18,81.79,58.11,72.2,68.33,1.36,2.61
SPARC,1846,2015-05-18,78.16,46.94,59.55,63.23,5.11,0.35
ZFCVINDIA,2210,2015-05-18,79.08,60.29,59.02,81.09,-2.38,-1.22
GILLETTE,686,2015-05-19,80.17,54.63,54.82,72.28,-1.03,-2.81
JKIL,986,2015-05-19,82.85,58.54,62.73,75.75,0.82,9.08
JYOTHYLAB,1015,2015-05-19,78.28,56.38,59.88,60.85,4.47,5.11
NAUKRI,1319,2015-05-19,77.33,46.17,71.16,50.78,6.1,5.47
FOSECOIND,646,2015-05-21,83.46,63.58,61.51,53.42,-5.29,-7.25
GICHSGFIN,683,2015-05-21,82.71,58.0,54.19,55.74,1.87,-6.53
SUPREMEIND,1911,2015-05-21,89.51,62.24,53.1,54.09,2.64,-4.26
ABB,23,2015-05-22,91.01,66.31,81.27,61.92,-4.36,-9.37
JKIL,986,2015-05-22,76.19,63.46,62.73,75.75,6.72,-4.22
KOLTEPATIL,1074,2015-05-26,83.05,58.12,64.67,66.33,1.07,-4.49
BEML,280,2015-05-28,87.69,60.23,71.72,68.25,16.24,25.63
KSCL,1099,2015-05-28,79.81,60.2,71.66,58.6,-3.78,-9.47
PHOENIXLTD,1478,2015-05-28,84.03,59.65,75.65,55.09,-2.32,-6.31
VINATIORGA,2129,2015-05-29,79.29,57.3,51.06,72.35,-8.78,-14.81
HUHTAMAKI,845,2015-06-15,70.06,51.56,63.66,81.94,3.86,3.79
TCI,1963,2015-06-16,67.22,47.78,59.09,50.97,9.5,12.07
ABB,23,2015-06-17,83.72,56.46,58.84,56.84,0.41,0.99
GPPL,729,2015-06-17,85.49,58.23,63.58,51.9,1.6,0.3
INGERRAND,915,2015-06-17,86.95,56.05,67.42,62.78,5.64,8.36
SOMANYCERA,1835,2015-06-17,74.95,44.5,52.56,55.01,4.41,8.26
VOLTAMP,2150,2015-06-18,81.72,50.44,55.48,75.3,8.38,10.32
AXISBANK,223,2015-06-22,92.04,64.0,63.21,50.56,-1.65,2.11
GODREJCP,716,2015-06-22,93.06,66.06,80.08,86.74,4.06,4.8
INDOCO,898,2015-06-22,89.57,61.05,54.32,54.85,-3.9,-2.74
RSWM,1652,2015-06-22,79.31,55.4,81.49,75.12,8.85,37.87
EVERESTIND,605,2015-06-23,80.94,53.75,67.29,78.19,4.31,19.95
GODREJIND,717,2015-06-25,87.47,67.04,59.65,54.57,1.12,3.27
BLISSGVS,313,2015-06-29,86.64,61.18,91.86,77.64,42.74,29.33
GSPL,751,2015-06-30,87.84,60.62,64.66,51.07,1.1,5.31
ICRA,855,2015-06-30,89.86,68.55,85.18,78.37,3.0,0.82
PGHH,1475,2015-06-30,87.86,74.67,67.91,61.89,-2.08,-5.99
SKFINDIA,1817,2015-06-30,81.69,58.91,67.19,65.87,3.32,0.58
SKIPPER,1819,2015-06-30,79.72,67.27,65.58,100.0,3.55,1.3
TATACOMM,1953,2015-06-30,88.84,70.08,73.99,75.05,1.74,4.12
BANKBARODA,258,2015-07-01,84.77,56.58,54.62,62.11,0.7,4.06
CIPLA,404,2015-07-01,78.95,60.72,60.18,69.84,1.78,5.62
CUMMINSIND,448,2015-07-01,87.12,70.42,85.52,85.76,4.59,5.57
FDC,619,2015-07-01,78.89,59.14,70.35,75.93,1.31,7.25
MBLINFRA,1224,2015-07-01,78.01,58.96,77.68,65.36,5.59,5.22
MMFL,1258,2015-07-01,82.16,56.86,55.04,68.92,2.92,10.83
PIIND,1482,2015-07-01,79.31,58.64,61.34,68.5,-2.29,0.32
RML,1632,2015-07-01,81.54,61.57,76.3,58.14,1.65,10.72
TVSHLTD,2045,2015-07-01,84.71,60.41,65.62,60.02,0.38,0.07
UNICHEMLAB,2065,2015-07-01,78.79,64.94,62.96,81.95,5.8,28.97
AVANTIFEED,214,2015-07-02,77.65,59.0,75.14,87.45,28.27,44.85
HITECHGEAR,827,2015-07-02,82.68,60.73,52.75,75.6,-2.45,15.46
HEROMOTOCO,801,2015-07-03,85.23,60.78,60.66,56.21,-0.2,2.82
GUJAPOLLO,759,2015-07-06,90.48,69.76,68.51,75.31,8.88,6.57
HMVL,832,2015-07-06,86.59,63.83,76.74,75.02,10.78,16.26
UNITEDTEA,2076,2015-07-08,82.43,64.26,70.7,69.29,-9.1,-2.98
BHARATFORG,292,2015-07-13,80.61,56.5,61.73,50.9,-0.99,-1.58
GSPL,751,2015-07-13,89.74,74.45,91.74,84.7,4.25,2.31
MONTECARLO,1275,2015-07-13,80.92,66.04,68.7,54.69,-1.67,-2.88
TIMKEN,2002,2015-07-13,86.4,61.87,58.58,62.59,-1.39,-0.22
ASAHIINDIA,170,2015-07-14,68.49,53.64,83.8,70.86,7.13,12.7
IMPAL,879,2015-07-15,89.43,74.12,93.45,89.15,4.54,6.58
KKCL,1067,2015-07-15,77.68,49.4,69.15,67.79,6.04,7.96
SUNDRMFAST,1900,2015-07-15,86.6,59.5,72.25,57.1,6.72,8.09
SASKEN,1714,2015-07-21,89.52,68.36,56.8,76.46,-5.71,3.82
BALAMINES,244,2015-07-23,80.58,60.98,64.22,97.45,11.59,21.15
TORNTPHARM,2018,2015-07-24,87.42,69.56,87.27,96.18,5.61,8.71
BYKE,346,2015-07-29,91.78,71.61,74.66,90.19,-0.59,-7.9
3MINDIA,5,2015-07-30,87.13,67.56,86.96,99.66,24.55,18.36
GRINDWELL,741,2015-07-30,85.33,60.75,70.15,86.32,4.35,-1.8
TCS,1967,2015-08-05,85.23,57.64,59.1,55.13,4.89,7.32
ECLERX,548,2015-08-06,73.8,60.76,63.57,81.78,8.55,9.73
SUNPHARMA,1903,2015-08-12,83.85,59.41,65.71,53.34,7.11,0.78
EICHERMOT,552,2015-08-14,75.6,59.55,62.2,73.47,-0.66,-8.16
ASHOKA,177,2015-08-19,77.14,57.31,54.9,72.93,-9.11,-6.4
CYIENT,453,2015-08-19,85.18,64.49,71.77,69.32,0.71,6.0
FLEXITUFF,637,2015-08-26,73.87,59.91,62.2,59.78,-6.62,-3.62
APOLLOHOSP,143,2015-09-09,72.27,56.6,62.88,79.86,-1.25,4.14
SHRIRAMFIN,1788,2015-09-10,75.69,59.66,64.71,58.01,4.31,2.06
ARVIND,167,2015-09-14,80.21,56.52,65.39,51.56,1.51,1.57
ASIANPAINT,182,2015-09-14,77.2,53.86,51.63,58.44,-4.23,0.16
BERGEPAINT,282,2015-09-14,89.19,65.51,73.07,65.03,-0.56,-1.19
GODFRYPHLP,713,2015-09-16,87.38,60.18,86.15,82.57,11.34,16.99
STYRENIX,1885,2015-09-16,87.74,56.7,50.8,68.94,-0.71,1.05
TRENT,2031,2015-09-16,86.35,58.77,67.24,67.02,6.07,6.17
BEML,280,2015-09-21,79.18,51.44,58.73,50.52,-1.0,3.61
EXIDEIND,610,2015-09-21,82.39,59.58,79.69,51.05,-0.55,3.62
IIFL,870,2015-09-21,69.29,55.41,51.64,58.78,-0.56,0.08
MRF,1284,2015-09-21,80.79,59.51,60.22,77.04,0.37,2.82
CCL,368,2015-09-23,80.85,54.99,67.36,72.36,10.69,11.47
ITC,945,2015-09-24,77.31,59.58,61.52,51.46,2.16,5.65
SUNDARMFIN,1898,2015-09-24,83.92,55.69,53.49,55.81,1.25,-0.01
TCS,1967,2015-09-24,81.05,58.42,58.37,61.59,5.09,0.47
AJANTPHARM,84,2015-09-30,82.86,58.29,66.44,57.2,1.28,1.76
ASIANPAINT,182,2015-09-30,79.82,58.18,56.53,58.44,3.87,3.38
GLENMARK,693,2015-09-30,86.89,57.5,50.93,58.63,-5.6,-3.49
ASAHIINDIA,170,2015-10-01,81.09,59.46,55.25,63.02,4.12,4.15
FOSECOIND,646,2015-10-01,76.69,55.44,50.99,67.15,1.34,7.74
ORBTEXP,1412,2015-10-01,85.95,65.6,69.27,54.97,-2.61,-3.85
ASTRAZEN,191,2015-10-05,86.97,60.04,58.89,81.15,-1.78,5.15
GODREJIND,717,2015-10-05,77.22,54.06,54.26,67.6,0.22,3.47
RML,1632,2015-10-05,67.03,52.19,67.55,54.48,1.56,2.27
SASKEN,1714,2015-10-05,86.59,65.52,90.09,88.66,11.62,13.91
SRF,1858,2015-10-05,91.0,63.38,74.44,68.95,3.63,12.31
STYRENIX,1885,2015-10-05,82.57,61.62,50.16,80.0,-3.09,5.98
VHLTD,2119,2015-10-05,82.11,59.75,77.66,66.67,4.44,29.63
CIPLA,404,2015-10-06,90.29,64.02,76.63,60.75,2.27,1.45
DCMSHRIRAM,476,2015-10-06,83.61,59.63,77.0,65.02,3.47,3.38
EIDPARRY,553,2015-10-06,83.98,63.29,88.91,75.24,17.03,31.42
ESCORTS,594,2015-10-06,90.68,61.25,74.15,72.68,0.46,9.75
BFUTILITIE,286,2015-10-07,82.27,56.42,64.77,60.49,2.12,3.36
IGARASHI,865,2015-10-07,68.37,49.13,65.81,63.99,7.16,12.35
KANSAINER,1032,2015-10-12,82.81,63.36,86.52,62.52,0.06,1.57
SUNDRMFAST,1900,2015-10-12,72.2,55.06,67.26,54.6,3.87,5.44
MAHSCOOTER,1178,2015-10-13,80.4,57.49,54.42,81.71,1.73,26.75
SABTNL,1671,2015-10-15,88.16,69.53,88.68,92.3,3.3,6.05
SADBHIN,1673,2015-10-23,82.48,63.92,58.99,100.0,-4.4,-4.26
IPCALAB,932,2015-10-27,83.6,68.51,65.16,68.14,-4.45,-9.13
MARICO,1205,2015-11-04,82.11,59.37,68.68,64.52,-0.43,4.96
JAGRAN,955,2015-11-10,85.57,67.25,82.94,85.56,-1.78,-2.76
ASHOKA,177,2015-11-13,77.53,62.04,66.37,71.77,8.89,11.94
TVTODAY,2049,2015-11-13,83.99,53.87,52.19,63.83,3.39,3.98
UNICHEMLAB,2065,2015-11-17,74.93,51.26,61.88,66.12,0.39,1.24
WHIRLPOOL,2181,2015-11-17,85.22,56.39,77.5,57.19,5.89,0.67
RSWM,1652,2015-11-18,65.64,51.97,72.89,69.21,8.76,10.72
SKMEGGPROD,1820,2015-11-18,76.66,47.77,65.05,84.95,6.02,-3.01
AMBIKCO,115,2015-11-19,82.79,56.9,58.74,52.79,-0.6,-2.04
ICRA,855,2015-11-19,79.12,60.14,56.42,72.57,2.73,7.98
INDUSINDBK,909,2015-11-19,64.97,48.95,52.72,59.98,1.01,3.15
WHIRLPOOL,2181,2015-11-19,77.35,61.36,77.5,57.19,4.41,-0.83
BIRLACORPN,307,2015-11-20,81.22,57.58,53.07,74.53,11.65,6.21
CRISIL,439,2015-11-20,78.42,64.17,69.56,60.26,0.56,-1.69
SANGAMIND,1700,2015-11-20,78.08,55.31,51.4,90.04,9.78,11.13
APLLTD,141,2015-11-23,81.71,56.75,65.12,72.84,3.74,2.1
JYOTHYLAB,1015,2015-11-23,76.48,48.44,67.94,66.56,3.98,0.72
TATAELXSI,1955,2015-11-23,78.76,58.92,85.72,89.03,8.52,5.88
BGRENERGY,287,2015-11-24,84.64,58.58,83.32,72.13,7.77,-2.69
WELCORP,2172,2015-11-24,63.69,47.61,63.01,59.84,12.65,4.3
GODREJPROP,718,2015-11-26,69.39,49.45,60.73,73.93,4.72,2.08
ICRA,855,2015-11-26,78.98,66.53,85.39,72.57,6.03,4.07
JBCHEPHARM,969,2015-11-26,80.86,56.9,69.11,64.83,-3.07,-8.24
CRISIL,439,2015-11-27,78.71,64.06,75.85,60.26,-2.65,-4.96
HDFCBANK,790,2015-11-27,82.49,57.82,55.73,53.49,-1.9,-3.06
JYOTHYLAB,1015,2015-11-27,81.9,62.3,67.94,66.56,1.74,-2.48
FORTIS,645,2015-11-30,88.74,64.09,76.68,53.76,5.6,6.61
REPRO,1614,2015-11-30,90.3,59.17,68.96,53.92,3.16,11.34
BPCL,332,2015-12-01,88.21,67.09,57.06,60.63,-2.22,-4.62
ESABINDIA,592,2015-12-01,90.25,68.46,88.63,75.77,2.0,5.26
SHANTIGEAR,1762,2015-12-01,90.56,70.46,74.63,53.49,-1.63,-9.65
DICIND,507,2015-12-02,84.52,63.27,56.57,96.55,-6.99,-5.66
CHOLAHLDNG,398,2015-12-03,75.59,60.94,77.74,85.19,-2.12,-2.28
KALYANIFRG,1024,2015-12-04,75.96,56.88,52.22,74.37,2.38,15.08
ABBOTINDIA,24,2015-12-07,80.43,57.62,71.14,79.99,2.74,5.77
ASAHIINDIA,170,2015-12-14,78.88,59.59,73.54,61.98,5.91,2.49
CUMMINSIND,448,2015-12-14,86.58,60.24,69.83,52.84,1.28,0.26
POLYMED,1505,2015-12-14,83.52,55.38,91.04,59.37,21.98,22.01
VINATIORGA,2129,2015-12-15,80.62,59.05,80.71,56.39,11.98,15.6
PONNIERODE,1507,2015-12-16,72.4,50.6,51.82,51.45,-2.98,-7.39
ABFRL,28,2015-12-17,79.2,60.41,64.44,79.94,1.49,13.32
EIDPARRY,553,2015-12-17,78.62,59.66,65.53,86.1,2.71,6.4
GODREJIND,717,2015-12-17,78.0,50.74,55.59,54.62,2.6,3.7
LMW,1141,2015-12-17,75.56,55.32,57.31,79.84,1.74,9.32
SOLARINDS,1832,2015-12-17,90.52,66.98,61.12,60.81,2.3,9.01
SRF,1858,2015-12-17,86.89,58.55,52.63,56.47,0.06,1.67
RAYMOND,1589,2015-12-18,88.79,60.6,60.7,53.43,3.36,0.19
IGARASHI,865,2015-12-21,80.78,62.85,60.01,63.38,-0.4,6.4
PALREDTEC,1438,2015-12-21,72.43,49.18,80.18,68.7,15.15,24.97
PGHL,1476,2015-12-21,86.88,68.19,75.58,52.05,-0.52,-2.13
SUNDRMFAST,1900,2015-12-21,82.42,62.53,74.39,59.88,6.01,3.68
TRITURBINE,2035,2015-12-21,72.63,51.45,67.62,57.0,3.92,5.76
UNITEDTEA,2076,2015-12-21,91.03,68.66,78.72,93.8,4.3,46.91
VMART,2147,2015-12-21,79.68,60.57,89.11,84.63,38.77,23.46
VSTTILLERS,2158,2015-12-21,85.7,58.77,63.92,67.27,4.17,3.57
OBEROIRLTY,1392,2015-12-23,82.83,63.44,68.42,51.03,1.82,0.23
ASTRAZEN,191,2015-12-28,80.42,61.64,90.25,75.22,12.03,11.31
KSB,1098,2015-12-30,92.58,67.92,87.47,63.53,2.23,-4.18
DCMSHRIRAM,476,2015-12-31,89.64,60.82,63.44,71.73,-1.33,-1.76
NIPPOBATRY,1362,2015-12-31,77.52,61.59,54.45,68.19,-2.72,-4.79
TORNTPOWER,2019,2016-01-01,92.18,63.4,62.2,84.4,24.26,21.58
RAJESHEXPO,1568,2016-01-05,93.17,74.6,86.32,88.06,0.72,0.85
VETO,2115,2016-01-05,87.26,65.83,91.21,87.45,12.45,6.98
MUTHOOTFIN,1301,2016-01-08,92.53,69.6,69.25,72.66,-1.53,-5.79
SALZERELEC,1689,2016-01-08,74.23,57.52,78.67,100.0,-10.66,-11.64
TATAELXSI,1955,2016-01-25,74.03,41.54,64.29,63.48,25.83,12.07
INDNIPPON,895,2016-01-27,76.57,44.89,66.24,54.54,1.65,-5.19
PERSISTENT,1468,2016-01-27,75.8,56.49,68.95,51.16,3.64,-3.55
